NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;RRAB;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;TX;TXAB;TXMIN;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;TNAB;TNMAX;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;TAMPLIAB;TM;TMMIN;TMMAX
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200107;109.5;53.5;10;6;3;1;1;0;26.8;32.0;14.9;0;20;7;0;1;13;1;14.7;8.1;18.9;0;0;3;15;31;0;0;0;12.0;17.6;20.7;13.7;24.4
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200108;95.0;58.5;9;5;2;1;1;0;27.3;34.3;20.5;0;21;9;0;0;15;6;14.9;8.9;19.7;0;0;1;17;31;0;0;0;12.4;21.3;21.1;17.4;26.1
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200109;52.5;11.5;10;3;1;0;0;0;19.0;25.9;11.7;0;1;0;0;17;30;0;9.2;4.8;14.6;0;0;16;30;30;0;0;0;9.8;17.1;14.1;10.7;17.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200110;106.0;28.0;9;5;4;0;0;0;20.5;25.4;12.5;0;3;0;0;15;31;0;9.7;4.7;14.2;0;0;17;31;31;0;0;0;10.8;15.0;15.1;10.8;19.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200111;29.5;10.0;7;2;1;0;0;0;8.2;14.9;2.7;0;0;0;0;30;30;0;1.5;-4.3;7.4;0;0;30;30;30;0;0;10;6.7;12.8;4.9;1.0;11.1
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200112;12.5;6.0;5;1;0;0;0;0;4.0;12.2;-3.7;8;0;0;0;31;31;0;-1.8;-11.1;8.2;8;2;31;31;31;0;0;21;5.8;12.1;1.1;-7.4;9.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200201;19.5;8.0;6;1;0;0;0;0;6.9;17.0;-2.5;2;0;0;0;31;31;0;-1.5;-8.1;7.8;9;0;31;31;31;0;0;21;8.4;12.8;2.7;-3.9;12.4
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200202;45.5;18.5;9;2;2;0;0;0;11.1;17.5;3.9;0;0;0;0;28;28;0;3.7;-3.1;9.0;0;0;28;28;28;0;0;2;7.4;13.3;7.4;2.4;11.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200203;26.0;12.5;5;2;1;0;0;0;14.3;21.5;7.0;0;0;0;0;30;31;0;4.2;-2.6;12.2;0;0;28;31;31;0;0;5;10.1;17.7;9.2;4.4;15.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200204;13.5;5.0;5;1;0;0;0;0;17.6;25.4;9.1;0;1;0;0;20;30;0;6.1;-0.2;12.8;0;0;24;30;30;0;0;1;11.5;21.6;11.8;6.7;18.2
