Périmètre;Nature;Date;Heures;Consommation;;;;
Lille;Données temps réel;20/04/2017;18:00;905;;;;
Lille;Données temps réel;20/04/2017;18:15;918;;;;
Lille;Données temps réel;20/04/2017;18:30;911;;;;
Lille;Données temps réel;20/04/2017;18:45;956;;;;
Lille;Données temps réel;20/04/2017;19:00;945;;;;
Lille;Données temps réel;20/04/2017;19:15;924;;;;
Lille;Données temps réel;20/04/2017;19:30;927;;;;
Lille;Données temps réel;20/04/2017;19:45;942;;;;
Lille;Données temps réel;20/04/2017;20:00;932;;;;
Lille;Données temps réel;20/04/2017;20:15;912;;;;
Lille;Données temps réel;20/04/2017;20:30;929;;;;
Lille;Données temps réel;20/04/2017;20:45;891;;;;
Lille;Données temps réel;20/04/2017;21:00;909;;;;
Lille;Données temps réel;20/04/2017;21:15;924;;;;
Lille;Données temps réel;20/04/2017;21:30;943;;;;
Lille;Données temps réel;20/04/2017;21:45;982;;;;
Lille;Données temps réel;20/04/2017;22:00;960;;;;
Lille;Données temps réel;20/04/2017;22:15;950;;;;
Lille;Données temps réel;20/04/2017;22:30;921;;;;
Lille;Données temps réel;20/04/2017;22:45;907;;;;
Lille;Données temps réel;20/04/2017;23:00;893;;;;
Lille;Données temps réel;20/04/2017;23:15;884;;;;
Lille;Données temps réel;20/04/2017;23:30;884;;;;
Lille;Données temps réel;20/04/2017;23:45;ND;;;;
Lille;Données temps réel;21/04/2017;00:00;902;;;;
Lille;Données temps réel;21/04/2017;00:15;926;;;;
Lille;Données temps réel;21/04/2017;00:30;914;;;;
Lille;Données temps réel;21/04/2017;00:45;875;;;;
Lille;Données temps réel;21/04/2017;01:00;890;;;;
Lille;Données temps réel;21/04/2017;01:15;906;;;;
Lille;Données temps réel;21/04/2017;01:30;887;;;;
Lille;Données temps réel;21/04/2017;01:45;859;;;;
Lille;Données temps réel;21/04/2017;02:00;844;;;;
Lille;Données temps réel;21/04/2017;02:15;836;;;;
Lille;Données temps réel;21/04/2017;02:30;815;;;;
Lille;Données temps réel;21/04/2017;02:45;803;;;;
Lille;Données temps réel;21/04/2017;03:00;790;;;;
Lille;Données temps réel;21/04/2017;03:15;781;;;;
Lille;Données temps réel;21/04/2017;03:30;776;;;;
Lille;Données temps réel;21/04/2017;03:45;784;;;;
Lille;Données temps réel;21/04/2017;04:00;780;;;;
Lille;Données temps réel;21/04/2017;04:15;789;;;;
Lille;Données temps réel;21/04/2017;04:30;789;;;;
Lille;Données temps réel;21/04/2017;04:45;795;;;;
Lille;Données temps réel;21/04/2017;05:00;796;;;;
Lille;Données temps réel;21/04/2017;05:15;822;;;;
Lille;Données temps réel;21/04/2017;05:30;828;;;;
Lille;Données temps réel;21/04/2017;05:45;831;;;;
Lille;Données temps réel;21/04/2017;06:00;832;;;;
Lille;Données temps réel;21/04/2017;06:15;860;;;;
Lille;Données temps réel;21/04/2017;06:30;878;;;;
Lille;Données temps réel;21/04/2017;06:45;882;;;;
Lille;Données temps réel;21/04/2017;07:00;917;;;;
Lille;Données temps réel;21/04/2017;07:15;918;;;;
Lille;Données temps réel;21/04/2017;07:30;945;;;;
Lille;Données temps réel;21/04/2017;07:45;965;;;;
Lille;Données temps réel;21/04/2017;08:00;961;;;;
Lille;Données temps réel;21/04/2017;08:15;1013;;;;
Lille;Données temps réel;21/04/2017;08:30;992;;;;
Lille;Données temps réel;21/04/2017;08:45;1022;;;;
Lille;Données temps réel;21/04/2017;09:00;1045;;;;
Lille;Données temps réel;21/04/2017;09:15;1039;;;;
Lille;Données temps réel;21/04/2017;09:30;1039;;;;
Lille;Données temps réel;21/04/2017;09:45;1023;;;;
Lille;Données temps réel;21/04/2017;10:00;1039;;;;
Lille;Données temps réel;21/04/2017;10:15;1030;;;;
Lille;Données temps réel;21/04/2017;10:30;1053;;;;
Lille;Données temps réel;21/04/2017;10:45;1058;;;;
Lille;Données temps réel;21/04/2017;11:00;1029;;;;
Lille;Données temps réel;21/04/2017;11:15;1047;;;;
Lille;Données temps réel;21/04/2017;11:30;1010;;;;
Lille;Données temps réel;21/04/2017;11:45;1035;;;;
Lille;Données temps réel;21/04/2017;12:00;1031;;;;
Lille;Données temps réel;21/04/2017;12:15;1039;;;;
Lille;Données temps réel;21/04/2017;12:30;1045;;;;
Lille;Données temps réel;21/04/2017;12:45;1093;;;;
Lille;Données temps réel;21/04/2017;13:00;1109;;;;
Lille;Données temps réel;21/04/2017;13:15;1075;;;;
Lille;Données temps réel;21/04/2017;13:30;1049;;;;
Lille;Données temps réel;21/04/2017;13:45;1028;;;;
Lille;Données temps réel;21/04/2017;14:00;1029;;;;
Lille;Données temps réel;21/04/2017;14:15;1011;;;;
Lille;Données temps réel;21/04/2017;14:30;1018;;;;
Lille;Données temps réel;21/04/2017;14:45;987;;;;
Lille;Données temps réel;21/04/2017;15:00;974;;;;
Lille;Données temps réel;21/04/2017;15:15;974;;;;
Lille;Données temps réel;21/04/2017;15:30;946;;;;
Lille;Données temps réel;21/04/2017;15:45;980;;;;
Lille;Données temps réel;21/04/2017;16:00;933;;;;
Lille;Données temps réel;21/04/2017;16:15;944;;;;
Lille;Données temps réel;21/04/2017;16:30;929;;;;
Lille;Données temps réel;21/04/2017;16:45;931;;;;
Lille;Données temps réel;21/04/2017;17:00;950;;;;
Lille;Données temps réel;21/04/2017;17:15;919;;;;
Lille;Données temps réel;21/04/2017;17:30;906;;;;
Lille;Données temps réel;21/04/2017;17:45;931;;;;
Lille;Données temps réel;21/04/2017;18:00;948;;;;
Lille;Données temps réel;21/04/2017;18:15;954;;;;
Lille;Données temps réel;21/04/2017;18:30;937;;;;
Lille;Données temps réel;21/04/2017;18:45;956;;;;
Lille;Données temps réel;21/04/2017;19:00;961;;;;
Lille;Données temps réel;21/04/2017;19:15;923;;;;
Lille;Données temps réel;21/04/2017;19:30;927;;;;
Lille;Données temps réel;21/04/2017;19:45;962;;;;
Lille;Données temps réel;21/04/2017;20:00;968;;;;
Lille;Données temps réel;21/04/2017;20:15;912;;;;
Lille;Données temps réel;21/04/2017;20:30;917;;;;
Lille;Données temps réel;21/04/2017;20:45;916;;;;
Lille;Données temps réel;21/04/2017;21:00;909;;;;
Lille;Données temps réel;21/04/2017;21:15;926;;;;
Lille;Données temps réel;21/04/2017;21:30;934;;;;
Lille;Données temps réel;21/04/2017;21:45;959;;;;
Lille;Données temps réel;21/04/2017;22:00;938;;;;
Lille;Données temps réel;21/04/2017;22:15;924;;;;
Lille;Données temps réel;21/04/2017;22:30;894;;;;
Lille;Données temps réel;21/04/2017;22:45;876;;;;
Lille;Données temps réel;21/04/2017;23:00;857;;;;
Lille;Données temps réel;21/04/2017;23:15;ND;;;;
Lille;Données temps réel;21/04/2017;23:30;ND;;;;
Lille;Données temps réel;21/04/2017;23:45;ND;;;;
Lille;Données temps réel;22/04/2017;00:00;866;;;;
Lille;Données temps réel;22/04/2017;00:15;891;;;;
Lille;Données temps réel;22/04/2017;00:30;863;;;;
