Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;03/01/2021;19:45;1459
Grand Lyon;Données temps réel;03/01/2021;20:00;1459
Grand Lyon;Données temps réel;03/01/2021;20:15;1447
Grand Lyon;Données temps réel;03/01/2021;20:30;1427
Grand Lyon;Données temps réel;03/01/2021;20:45;1416
Grand Lyon;Données temps réel;03/01/2021;21:00;1396
Grand Lyon;Données temps réel;03/01/2021;21:15;1367
Grand Lyon;Données temps réel;03/01/2021;21:30;1352
Grand Lyon;Données temps réel;03/01/2021;21:45;1333
Grand Lyon;Données temps réel;03/01/2021;22:00;1331
Grand Lyon;Données temps réel;03/01/2021;22:15;1341
Grand Lyon;Données temps réel;03/01/2021;22:30;1375
Grand Lyon;Données temps réel;03/01/2021;22:45;1409
Grand Lyon;Données temps réel;03/01/2021;23:00;1391
Grand Lyon;Données temps réel;03/01/2021;23:15;1407
Grand Lyon;Données temps réel;03/01/2021;23:30;1372
Grand Lyon;Données temps réel;03/01/2021;23:45;1346
Grand Lyon;Données temps réel;04/01/2021;00:00;1317
Grand Lyon;Données temps réel;04/01/2021;00:15;1292
Grand Lyon;Données temps réel;04/01/2021;00:30;1279
Grand Lyon;Données temps réel;04/01/2021;00:45;1239
Grand Lyon;Données temps réel;04/01/2021;01:00;1228
Grand Lyon;Données temps réel;04/01/2021;01:15;1209
Grand Lyon;Données temps réel;04/01/2021;01:30;1214
Grand Lyon;Données temps réel;04/01/2021;01:45;1200
Grand Lyon;Données temps réel;04/01/2021;02:00;1194
Grand Lyon;Données temps réel;04/01/2021;02:15;1181
Grand Lyon;Données temps réel;04/01/2021;02:30;1167
Grand Lyon;Données temps réel;04/01/2021;02:45;1166
Grand Lyon;Données temps réel;04/01/2021;03:00;1155
Grand Lyon;Données temps réel;04/01/2021;03:15;1163
Grand Lyon;Données temps réel;04/01/2021;03:30;1157
Grand Lyon;Données temps réel;04/01/2021;03:45;1138
Grand Lyon;Données temps réel;04/01/2021;04:00;1143
Grand Lyon;Données temps réel;04/01/2021;04:15;1146
Grand Lyon;Données temps réel;04/01/2021;04:30;1142
Grand Lyon;Données temps réel;04/01/2021;04:45;1148
Grand Lyon;Données temps réel;04/01/2021;05:00;1158
Grand Lyon;Données temps réel;04/01/2021;05:15;1180
Grand Lyon;Données temps réel;04/01/2021;05:30;1187
Grand Lyon;Données temps réel;04/01/2021;05:45;1218
Grand Lyon;Données temps réel;04/01/2021;06:00;1216
Grand Lyon;Données temps réel;04/01/2021;06:15;1254
Grand Lyon;Données temps réel;04/01/2021;06:30;1302
Grand Lyon;Données temps réel;04/01/2021;06:45;1331
Grand Lyon;Données temps réel;04/01/2021;07:00;1386
Grand Lyon;Données temps réel;04/01/2021;07:15;1418
Grand Lyon;Données temps réel;04/01/2021;07:30;1445
