MM/AAAA,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Bioénergies,prod
11/2021,598619.0,15737734.0,220499.0,132986.0,3476511.0,168957.0,20335306.0
12/2021,692690.0,17668576.0,282789.0,100411.0,4288853.0,172888.0,23206207.0
01/2022,1555012.0,36063712.0,575842.0,310694.0,9786114.0,347190.0,48638564.0
02/2022,987410.0,29105950.0,642000.0,452650.0,7848808.0,343622.0,39380440.0
03/2022,1055290.0,29635698.0,527484.0,620148.0,7617334.0,386214.0,39842168.0
04/2022,702328.0,23952138.0,518006.0,744884.0,8290502.0,320960.0,34528818.0
05/2022,380500.0,20540888.0,434340.0,998926.0,8940816.0,358432.0,31653902.0
06/2022,730636.0,23093522.0,368200.0,978744.0,8048620.0,342248.0,33561970.0
07/2022,945270.0,22129286.0,380050.0,1150424.0,6767394.0,345608.0,31718032.0
08/2022,985988.0,20124388.0,312392.0,1011666.0,5055962.0,351614.0,27842010.0
09/2022,908670.0,18005906.0,386756.0,797802.0,4406110.0,338626.0,24843870.0
10/2022,612566.0,18162064.0,530656.0,579098.0,5610024.0,310366.0,25804774.0
11/2022,1160764.0,21020006.0,549180.0,343700.0,7777926.0,332982.0,31184558.0
12/2022,1335542.0,30473640.0,521336.0,167570.0,9759320.0,338932.0,42596340.0
01/2023,516604.0,18381449.0,308696.0,110025.0,5554029.0,162553.0,25033356.0
