année,NUM_POSTE,LAT,LON,ALTI,RR,RRAB,NBJRR1,NBJRR5,NBJRR10,NBJRR30,NBJRR50,NBJRR100,TX,TXAB,TXMIN,NBJTX0,NBJTX25,NBJTX30,NBJTX35,NBJTXI20,NBJTXI27,NBJTXS32,TN,TNAB,TNMAX,NBJTN5,NBJTN10,NBJTNI10,NBJTNI15,NBJTNI20,NBJTNS20,NBJTNS25,NBJGELEE,TAMPLIM,TAMPLIAB,TM,TMMIN,TMMAX
1961,69120773.80519481,45.82084642207792,4.666132090909091,343.18831168831167,59.36753246753247,19.02857142857143,8.37012987012987,3.8766233766233764,1.7077922077922079,0.23376623376623376,0.012987012987012988,0.0,17.01298701298701,24.435064935064936,9.78961038961039,0.7077922077922078,5.584415584415584,2.4155844155844157,0.09740259740259741,19.324675324675326,26.51298701298701,1.3181818181818181,6.651948051948053,0.6642857142857143,13.257792207792209,0.6428571428571429,0.17532467532467533,20.805194805194805,27.81168831168831,30.38961038961039,0.045454545454545456,0.0,4.811688311688312,10.366233766233767,17.75064935064935,11.834415584415584,6.530519480519481,17.995454545454546
1962,69119981.72258064,45.818405477419354,4.668147361290323,340.5870967741935,53.721935483870965,17.413548387096775,8.212903225806452,3.52258064516129,1.4903225806451612,0.10967741935483871,0.03225806451612903,0.0,14.983870967741936,23.70258064516129,6.064516129032258,1.4064516129032258,5.451612903225806,2.0193548387096776,0.15483870967741936,20.503225806451614,26.73548387096774,1.135483870967742,4.921935483870968,-2.366451612903226,12.496774193548386,2.0838709677419356,0.5161290322580645,22.81290322580645,28.55483870967742,30.348387096774193,0.0967741935483871,0.0,7.819354838709677,10.061935483870966,17.539354838709677,9.951612903225806,3.0361290322580645,17.34258064516129
1963,69124019.5925926,45.83266677777778,4.664280888888889,338.55555555555554,76.48148148148148,21.893827160493828,9.790123456790123,4.790123456790123,2.1728395061728394,0.3333333333333333,0.08024691358024691,0.0,14.275925925925925,21.29074074074074,6.604320987654321,3.037037037037037,3.111111111111111,0.42592592592592593,0.006172839506172839,21.320987654320987,28.969135802469136,0.09259259259259259,4.799382716049383,-2.3364197530864197,11.542592592592593,3.993827160493827,1.9382716049382716,21.82716049382716,28.64814814814815,30.228395061728396,0.018518518518518517,0.0,6.950617283950617,9.45432098765432,17.588271604938274,9.530864197530864,3.2969135802469136,15.580246913580247
1964,69125501.07142857,45.845488214285716,4.6600119285714285,342.0,52.535714285714285,16.38154761904762,7.851190476190476,3.6964285714285716,1.630952380952381,0.05357142857142857,0.0,0.0,15.39642857142857,23.225,8.014880952380953,1.2738095238095237,5.654761904761905,1.6845238095238095,0.3273809523809524,19.202380952380953,26.875,0.8928571428571429,6.007142857142857,-0.45952380952380956,12.647023809523809,1.3869047619047619,0.1488095238095238,21.00595238095238,28.297619047619047,30.30952380952381,0.125,0.0,6.148809523809524,9.392261904761906,16.95357142857143,10.701785714285714,4.873214285714286,17.02202380952381
1965,69125429.65476191,45.842934642857145,4.66172125,340.0654761904762,89.34404761904761,23.107142857142858,11.047619047619047,5.238095238095238,2.7976190476190474,0.3630952380952381,0.05952380952380952,0.0,14.834523809523809,22.90952380952381,7.4523809523809526,0.44642857142857145,3.5416666666666665,0.8333333333333334,0.017857142857142856,21.928571428571427,28.339285714285715,0.2857142857142857,5.711904761904762,-0.6041666666666666,11.983333333333334,1.3571428571428572,0.05357142857142857,22.916666666666668,28.75,30.285714285714285,0.02976190476190476,0.0,5.767857142857143,9.125,16.545238095238094,10.275,4.598214285714286,16.589880952380952
1966,69133386.54189944,45.83374873743017,4.646776536312849,361.0446927374302,69.43519553072626,20.275977653631287,9.849162011173185,4.4860335195530725,1.988826815642458,0.2681564245810056,0.00558659217877095,0.0,15.593296089385474,23.50558659217877,7.158659217877095,0.7374301675977654,4.100558659217877,0.9162011173184358,0.11173184357541899,20.07262569832402,28.273743016759777,0.441340782122905,6.204469273743016,-0.23743016759776536,12.64804469273743,1.100558659217877,0.5139664804469274,21.01675977653631,28.83240223463687,30.363128491620113,0.0670391061452514,0.0,5.324022346368715,9.392178770949721,17.345251396648045,10.896648044692737,4.593854748603352,17.1463687150838
1967,69133001.06666666,45.83170013333333,4.647433333333334,359.8666666666667,61.483333333333334,19.846111111111114,7.855555555555555,3.861111111111111,1.9388888888888889,0.22777777777777777,0.016666666666666666,0.0,15.681666666666665,23.681666666666665,7.73,1.2055555555555555,4.772222222222222,1.2,0.027777777777777776,20.166666666666668,27.47222222222222,0.43333333333333335,5.947222222222222,-1.1694444444444445,12.662222222222221,1.538888888888889,0.4722222222222222,21.55,28.177777777777777,30.372222222222224,0.08888888888888889,0.005555555555555556,5.738888888888889,9.73111111111111,17.467777777777776,10.810555555555556,4.517777777777778,17.27777777777778
1968,69133001.06666666,45.83170013333333,4.647433333333334,359.8666666666667,76.0788888888889,25.220555555555556,8.816666666666666,4.483333333333333,2.388888888888889,0.4166666666666667,0.08333333333333333,0.0,14.771666666666667,22.951666666666668,7.346666666666668,1.1277777777777778,2.6277777777777778,0.7833333333333333,0.044444444444444446,21.872222222222224,28.744444444444444,0.3388888888888889,5.831666666666667,-0.7972222222222223,12.360000000000001,1.0555555555555556,0.1388888888888889,21.994444444444444,28.97222222222222,30.266666666666666,0.06111111111111111,0.0,6.288888888888889,8.945555555555556,16.225,10.303888888888888,4.483888888888889,16.79
1969,69133001.06666666,45.83170013333333,4.647433333333334,359.8666666666667,66.57277777777777,20.67222222222222,8.96111111111111,4.261111111111111,2.1055555555555556,0.18333333333333332,0.011111111111111112,0.0,14.70111111111111,21.618333333333336,6.63111111111111,1.8111111111111111,3.7333333333333334,0.7833333333333333,0.0,21.41111111111111,28.016666666666666,0.20555555555555555,5.725,-0.9166666666666666,11.786666666666665,2.2944444444444443,0.17777777777777778,21.711111111111112,28.27777777777778,30.238888888888887,0.06666666666666667,0.0,6.716666666666667,8.971666666666668,16.19888888888889,10.210555555555556,3.55,15.783333333333333
1970,69133001.06666666,45.83170013333333,4.647433333333334,359.8666666666667,74.02166666666666,24.015555555555558,9.488888888888889,4.45,2.2888888888888888,0.28888888888888886,0.05,0.0,14.969444444444445,22.85222222222222,7.313888888888889,1.3611111111111112,4.488888888888889,0.8944444444444445,0.011111111111111112,20.355555555555554,27.822222222222223,0.3111111111111111,5.832777777777778,-1.1605555555555556,12.347222222222221,1.6333333333333333,0.23333333333333334,21.272222222222222,28.127777777777776,30.4,0.016666666666666666,0.0,6.572222222222222,9.132777777777779,16.267222222222223,10.39611111111111,4.242777777777778,16.863888888888887
1971,69133386.54189944,45.83374873743017,4.646776536312849,361.0446927374302,59.83854748603352,19.639664804469273,7.318435754189944,3.910614525139665,2.106145251396648,0.1452513966480447,0.00558659217877095,0.0,14.973184357541898,22.085474860335196,6.931843575418994,1.329608938547486,4.581005586592179,1.223463687150838,0.0,19.921787709497206,27.88826815642458,0.3128491620111732,5.38268156424581,-1.6659217877094972,11.391620111731843,1.9553072625698324,0.776536312849162,21.52513966480447,28.363128491620113,30.379888268156424,0.0782122905027933,0.0,7.100558659217877,9.588268156424581,16.99217877094972,10.177094972067039,3.515083798882682,15.649162011173184
1972,69127369.48421052,45.83508433684211,4.644042105263158,355.4,59.78631578947368,19.91263157894737,8.0,3.4894736842105263,1.7789473684210526,0.30526315789473685,0.021052631578947368,0.0,15.06578947368421,22.486842105263158,7.564736842105263,0.7473684210526316,2.889473684210526,0.6210526315789474,0.0,22.46842105263158,28.94736842105263,0.08421052631578947,5.482105263157894,-0.6136842105263157,11.97578947368421,0.5894736842105263,0.0,24.142105263157895,29.21578947368421,30.49473684210526,0.005263157894736842,0.0,5.042105263157895,9.582105263157894,17.040526315789474,10.273684210526316,4.615263157894737,16.355263157894736
1973,69124667.8888889,45.84157416666667,4.657277777777778,341.27777777777777,51.535185185185185,17.28101851851852,7.296296296296297,3.3518518518518516,1.787037037037037,0.1111111111111111,0.009259259259259259,0.0,15.069444444444445,22.16712962962963,6.891203703703703,1.0416666666666667,5.62962962962963,1.6342592592592593,0.0,20.324074074074073,26.930555555555557,0.39351851851851855,5.540277777777778,-0.952314814814815,11.939814814814815,1.4212962962962963,0.10185185185185185,20.98611111111111,27.87037037037037,30.40740740740741,0.023148148148148147,0.0,8.027777777777779,9.524074074074074,16.962500000000002,10.304166666666665,4.090277777777778,16.326851851851853
1974,69124667.8888889,45.84157416666667,4.657277777777778,341.27777777777777,67.09074074074074,20.864814814814817,10.11111111111111,4.143518518518518,1.9722222222222223,0.20833333333333334,0.009259259259259259,0.0,15.455092592592594,22.497685185185187,7.914351851851852,0.0787037037037037,4.425925925925926,1.0787037037037037,0.13425925925925927,21.587962962962962,28.15277777777778,0.6296296296296297,6.333333333333333,0.3819444444444444,12.118055555555555,0.11574074074074074,0.0,22.73148148148148,28.75,30.38425925925926,0.037037037037037035,0.0,3.2453703703703702,9.118981481481482,16.42824074074074,10.899074074074074,5.213425925925925,16.329166666666666
1975,69143373.31007752,45.82813895348837,4.702110488372093,315.031007751938,71.93023255813954,20.501550387596897,9.05813953488372,4.7015503875969,2.364341085271318,0.21705426356589147,0.023255813953488372,0.0,15.13062015503876,22.49263565891473,7.199224806201551,0.5193798449612403,4.4147286821705425,1.2364341085271318,0.046511627906976744,20.709302325581394,27.573643410852714,0.6666666666666666,6.337209302325581,0.4503875968992248,12.237596899224807,0.5465116279069767,0.015503875968992248,21.12015503875969,27.44573643410853,30.093023255813954,0.15891472868217055,0.0,5.507751937984496,8.7984496124031,15.522868217054263,10.736434108527131,4.642635658914728,16.49651162790698
1976,69161122.95652173,45.83529573913044,4.713649260869565,317.60869565217394,59.439565217391305,21.660869565217393,7.01304347826087,3.247826086956522,1.9521739130434783,0.2956521739130435,0.0391304347826087,0.0,15.88,22.843478260869563,7.923043478260869,0.691304347826087,6.252173913043478,2.3130434782608695,0.05217391304347826,19.969565217391306,25.904347826086955,1.1652173913043478,6.4082608695652175,0.029130434782608693,12.207391304347825,0.8869565217391304,0.034782608695652174,20.682608695652174,26.98695652173913,30.204347826086956,0.24347826086956523,0.0,5.969565217391304,9.471739130434782,16.598260869565216,11.146521739130433,4.980869565217391,16.468695652173913
1977,69162369.63157895,45.83288605263158,4.713359631578947,318.6842105263158,91.03508771929825,26.4469298245614,11.00438596491228,5.574561403508772,2.8508771929824563,0.4473684210526316,0.06140350877192982,0.0,15.365789473684211,22.49780701754386,7.289912280701754,0.34210526315789475,2.4078947368421053,0.09649122807017543,0.0,21.36842105263158,29.236842105263158,0.0,6.665350877192982,0.6697368421052631,12.661842105263158,0.4605263157894737,0.0,20.95614035087719,29.04824561403509,30.285087719298247,0.008771929824561403,0.0,3.8640350877192984,8.697807017543859,15.460964912280701,11.018421052631577,5.025438596491228,16.619298245614033
1978,69163793.53846154,45.84360779615385,4.718449365384616,303.8269230769231,56.181538461538466,16.34653846153846,8.996153846153845,3.703846153846154,1.5384615384615385,0.13076923076923078,0.04230769230769231,0.0,14.955769230769231,22.143076923076922,7.3,0.5769230769230769,3.6192307692307693,0.4846153846153846,0.0,21.107692307692307,28.442307692307693,0.2,6.096153846153846,0.17538461538461536,11.967307692307692,0.6384615384615384,0.05,21.83076923076923,28.46923076923077,30.18846153846154,0.011538461538461539,0.0,5.0115384615384615,8.866538461538463,15.996923076923077,10.52576923076923,4.73423076923077,16.083846153846153
1979,69173501.22580644,45.839669467741935,4.722134403225806,306.96774193548384,76.59637096774195,20.793145161290322,10.528225806451612,4.830645161290323,2.4233870967741935,0.17338709677419356,0.04838709677419355,0.0,15.237903225806452,22.579435483870967,7.354838709677419,0.8064516129032258,4.741935483870968,0.7701612903225806,0.028225806451612902,20.350806451612904,28.004032258064516,0.21774193548387097,6.680645161290323,0.3379032258064516,12.743145161290323,1.064516129032258,0.1814516129032258,20.036290322580644,27.443548387096776,30.298387096774192,0.07258064516129033,0.0,5.217741935483871,8.565725806451614,15.48266129032258,10.963306451612903,4.795967741935484,17.00201612903226
1980,69176659.43037975,45.82664567088607,4.717660367088608,312.1518987341772,73.18354430379746,22.842616033755274,9.649789029535865,4.29957805907173,2.1434599156118144,0.3459915611814346,0.0970464135021097,0.0,14.549789029535866,21.634177215189876,7.839240506329114,1.1181434599156117,3.3544303797468356,0.5611814345991561,0.0,21.839662447257385,28.890295358649787,0.29535864978902954,6.029113924050633,0.15147679324894517,12.20464135021097,1.0253164556962024,0.12658227848101267,21.544303797468356,28.41350210970464,30.443037974683545,0.06751054852320675,0.004219409282700422,5.843881856540085,8.519831223628692,16.129957805907175,10.289873417721518,5.247679324894515,16.08607594936709
1981,69175017.9372385,45.825233711297074,4.716798497907949,310.8577405857741,79.2213389121339,25.435564853556485,9.899581589958158,4.690376569037657,2.1129707112970713,0.4811715481171548,0.14225941422594143,0.0,15.207531380753137,23.012133891213388,8.056485355648535,0.40585774058577406,3.707112970711297,0.49372384937238495,0.0,20.251046025104603,28.347280334728033,0.09205020920502092,6.341841004184101,0.09665271966527196,12.682845188284517,1.4728033472803348,0.012552301255230125,20.292887029288703,27.824267782426777,30.334728033472803,0.058577405857740586,0.0,5.870292887029288,8.868619246861924,15.423849372384938,10.778661087866109,5.009623430962343,17.307112970711295
1982,69174851.2,45.8268751,4.7159917,311.75,75.30166666666668,27.682916666666664,8.608333333333333,4.141666666666667,2.220833333333333,0.42916666666666664,0.11666666666666667,0.0,16.295833333333334,22.53125,8.97,0.23333333333333334,5.679166666666666,1.1375,0.07083333333333333,19.816666666666666,27.1625,0.5416666666666666,7.182083333333334,1.5433333333333332,12.662083333333333,0.30833333333333335,0.0,19.595833333333335,26.5375,30.283333333333335,0.16666666666666666,0.0,3.8041666666666667,9.113750000000001,15.432500000000001,11.740833333333335,6.1274999999999995,16.835
1983,69175101.20416667,45.8242751,4.716284754166667,312.0625,73.33083333333335,20.07875,8.195833333333333,4.1875,2.341666666666667,0.4166666666666667,0.0125,0.0,15.895416666666668,23.045416666666664,8.304583333333333,0.7333333333333333,6.245833333333334,2.2291666666666665,0.4583333333333333,20.0875,25.9375,1.425,6.923333333333333,0.6291666666666667,13.295833333333333,1.0416666666666667,0.029166666666666667,20.029166666666665,25.6375,29.5875,0.7708333333333334,0.029166666666666667,5.908333333333333,8.970416666666667,16.22416666666667,11.4125,5.381666666666666,17.317083333333336
1984,69174576.8235294,45.82632573109244,4.715737428571428,312.20588235294116,66.21176470588235,21.238235294117647,9.105042016806722,4.23109243697479,2.0126050420168067,0.22268907563025211,0.029411764705882353,0.0,15.049159663865545,22.02983193277311,7.876050420168068,0.226890756302521,4.03781512605042,1.004201680672269,0.07142857142857142,22.180672268907564,28.016806722689076,0.47478991596638653,6.267647058823529,0.7592436974789916,12.522689075630252,0.5294117647058824,0.008403361344537815,21.50420168067227,28.27310924369748,30.399159663865547,0.11764705882352941,0.008403361344537815,5.239495798319328,8.776050420168067,15.783193277310925,10.659243697478992,5.410924369747899,16.560924369747898
1985,69171185.90769231,45.83428218461538,4.704394876923077,329.2769230769231,53.83,17.005384615384614,7.615384615384615,3.4153846153846152,1.6,0.15,0.03076923076923077,0.0,15.206538461538461,23.92423076923077,6.180769230769231,2.223076923076923,6.1923076923076925,1.2884615384615385,0.05,19.726923076923075,26.35,0.46923076923076923,5.766538461538461,-1.0065384615384616,13.168846153846154,2.123076923076923,1.0038461538461538,20.573076923076922,27.611538461538462,30.15,0.09615384615384616,0.0,6.7153846153846155,9.440384615384616,16.618076923076924,10.482307692307693,3.4423076923076925,17.71769230769231
1986,69167607.16058394,45.8397811459854,4.70079806569343,330.64963503649636,65.79014598540147,16.657299270072993,10.10948905109489,4.4489051094890515,1.9744525547445255,0.13503649635036497,0.0,0.0,15.336496350364962,22.895985401459853,7.487956204379562,1.0255474452554745,5.660583941605839,1.7116788321167884,0.16058394160583941,19.7992700729927,26.291970802919707,0.8357664233576643,6.538686131386861,-0.4007299270072993,12.835766423357665,1.1094890510948905,0.24817518248175183,19.6021897810219,26.514598540145986,29.704379562043794,0.35766423357664234,0.0,5.740875912408759,8.799999999999999,16.178102189781022,10.936131386861314,4.42007299270073,17.07116788321168
1987,69162524.852349,45.84813324161074,4.70751122147651,330.3422818791946,74.32281879194632,21.53489932885906,10.006711409395972,4.432885906040268,2.3624161073825505,0.2651006711409396,0.026845637583892617,0.0,15.03523489932886,23.11711409395973,6.961744966442953,1.6946308724832215,4.855704697986577,1.6375838926174497,0.06375838926174497,20.12751677852349,27.221476510067113,0.6845637583892618,6.638255033557047,-0.002348993288590627,13.17248322147651,1.5771812080536913,0.3389261744966443,19.79530201342282,26.80536912751678,30.191275167785236,0.25838926174496646,0.0,5.630872483221476,8.398322147651006,15.57986577181208,10.838926174496644,4.265771812080537,17.51040268456376
1988,69163079.5276873,45.85150828338762,4.702539117263844,338.42345276872965,75.65504885993485,22.502931596091205,10.140065146579804,4.644951140065147,2.3387622149837135,0.2182410423452769,0.03257328990228013,0.0,15.95114006514658,22.813680781758958,7.937459283387622,0.31921824104234525,4.449511400651466,1.0684039087947883,0.03257328990228013,20.381107491856678,27.93159609120521,0.46579804560260585,7.248208469055374,1.277198697068404,12.919869706840391,0.3485342019543974,0.006514657980456026,19.908794788273617,28.10097719869707,30.381107491856678,0.16612377850162866,0.0,4.221498371335505,8.70228013029316,15.586319218241043,11.599022801302931,5.528990228013029,17.096091205211728
1989,69163694.1672355,45.85339491808874,4.7021638566552895,339.82935153583617,53.406825938566556,21.406143344709896,6.522184300341297,3.098976109215017,1.5085324232081911,0.2935153583617747,0.09897610921501707,0.0,16.692150170648464,24.132764505119454,8.995221843003412,0.8225255972696246,6.054607508532423,1.378839590443686,0.07508532423208192,18.962457337883958,26.501706484641637,0.6040955631399317,6.778156996587031,0.7327645051194539,13.023208191126281,0.9726962457337884,0.010238907849829351,20.2901023890785,26.761092150170647,29.699658703071673,0.28668941979522183,0.0,5.150170648464163,9.88839590443686,16.417747440273036,11.722184300341297,5.80136518771331,17.782252559726963
1990,69164058.20401338,45.85011609364548,4.70093481270903,342.90635451505017,71.72642140468227,24.653511705685617,8.715719063545151,4.357859531772576,2.3444816053511706,0.26755852842809363,0.05351170568561873,0.0,16.77257525083612,23.956187290969897,9.763545150501672,0.4782608695652174,5.525083612040134,1.8193979933110367,0.2040133779264214,18.434782608695652,26.665551839464882,1.040133779264214,7.222742474916387,1.7070234113712375,12.964548494983278,0.7424749163879598,0.030100334448160536,19.60200668896321,26.8561872909699,29.752508361204015,0.3210702341137124,0.0,4.461538461538462,9.549498327759197,16.286287625418062,11.99799331103679,6.926421404682274,17.58628762541806
1991,69162834.1270903,45.836992341137126,4.703241933110368,341.98327759197326,60.955518394648834,21.868227424749165,7.575250836120401,3.3244147157190636,1.725752508361204,0.40468227424749165,0.08361204013377926,0.0,16.19732441471572,23.75083612040134,8.20133779264214,0.9665551839464883,6.896321070234114,2.3578595317725752,0.12040133779264214,19.725752508361204,24.993311036789297,0.8896321070234113,6.896655518394649,0.9779264214046822,13.177591973244146,1.2508361204013378,0.06354515050167224,19.678929765886288,25.80267558528428,29.76923076923077,0.2842809364548495,0.0,5.31438127090301,9.296655518394648,16.326421404682275,11.549832775919732,5.68829431438127,17.638127090301005
1992,69164471.01916933,45.83747460383387,4.703862623003195,341.8466453674121,78.00255591054312,23.25399361022364,9.814696485623003,5.1629392971246,2.571884984025559,0.28753993610223644,0.02875399361022364,0.0,15.970607028753994,23.27667731629393,7.528434504792332,0.7380191693290735,5.645367412140575,1.8690095846645367,0.17252396166134185,20.073482428115017,26.82108626198083,1.1054313099041533,7.261341853035145,1.4527156549520766,13.064536741214058,0.9297124600638977,0.06389776357827476,19.492012779552716,26.996805111821086,30.047923322683705,0.3929712460063898,0.0,4.143769968051118,8.711501597444089,15.87444089456869,11.616932907348243,5.475718849840256,17.324281150159745
1993,69158444.49854228,45.85705067055394,4.690786690962099,346.9795918367347,81.34985422740525,25.620699708454808,9.489795918367347,4.443148688046647,2.507288629737609,0.4139941690962099,0.13702623906705538,0.011661807580174927,15.359475218658893,23.398542274052478,6.8466472303207,0.7696793002915452,4.469387755102041,1.4577259475218658,0.014577259475218658,20.65597667638484,27.35860058309038,0.42857142857142855,6.669679300291545,0.0446064139941691,12.929737609329445,0.9358600583090378,0.14285714285714285,20.26530612244898,27.323615160349853,30.21282798833819,0.12244897959183673,0.0,5.332361516034985,8.690962099125365,15.560058309037903,11.01603498542274,4.426530612244898,17.3466472303207
1994,69159543.7457627,45.85455381355932,4.694697745762712,344.40677966101697,74.9731638418079,22.163559322033898,10.008474576271187,4.528248587570621,2.443502824858757,0.2796610169491525,0.0423728813559322,0.0,16.927118644067797,24.387005649717516,9.610734463276836,0.2033898305084746,5.875706214689266,2.632768361581921,0.2514124293785311,19.471751412429377,26.26553672316384,1.4378531073446328,8.17316384180791,2.294632768361582,14.023728813559321,0.2768361581920904,0.00847457627118644,19.073446327683616,25.771186440677965,29.943502824858758,0.6016949152542372,0.0,2.8757062146892656,8.759887005649718,15.277118644067798,12.55141242937853,6.839830508474577,18.427966101694917
