Périmètre;Nature;Date;Heures;Consommation;;;;;;
Bordeaux;Données temps réel;21/07/2017;10:15;464;;;;;;
Bordeaux;Données temps réel;21/07/2017;10:30;462;;;;;;
Bordeaux;Données temps réel;21/07/2017;10:45;468;;;;;;
Bordeaux;Données temps réel;21/07/2017;11:00;451;;;;;;
Bordeaux;Données temps réel;21/07/2017;11:15;457;;;;;;
Bordeaux;Données temps réel;21/07/2017;11:30;465;;;;;;
Bordeaux;Données temps réel;21/07/2017;11:45;480;;;;;;
Bordeaux;Données temps réel;21/07/2017;12:00;479;;;;;;
Bordeaux;Données temps réel;21/07/2017;12:15;464;;;;;;
Bordeaux;Données temps réel;21/07/2017;12:30;466;;;;;;
Bordeaux;Données temps réel;21/07/2017;12:45;475;;;;;;
Bordeaux;Données temps réel;21/07/2017;13:00;449;;;;;;
Bordeaux;Données temps réel;21/07/2017;13:15;468;;;;;;
Bordeaux;Données temps réel;21/07/2017;13:30;484;;;;;;
Bordeaux;Données temps réel;21/07/2017;13:45;502;;;;;;
Bordeaux;Données temps réel;21/07/2017;14:00;478;;;;;;
Bordeaux;Données temps réel;21/07/2017;14:15;470;;;;;;
Bordeaux;Données temps réel;21/07/2017;14:30;467;;;;;;
Bordeaux;Données temps réel;21/07/2017;14:45;463;;;;;;
Bordeaux;Données temps réel;21/07/2017;15:00;441;;;;;;
Bordeaux;Données temps réel;21/07/2017;15:15;466;;;;;;
Bordeaux;Données temps réel;21/07/2017;15:30;413;;;;;;
Bordeaux;Données temps réel;21/07/2017;15:45;396;;;;;;
Bordeaux;Données temps réel;21/07/2017;16:00;408;;;;;;
Bordeaux;Données temps réel;21/07/2017;16:15;436;;;;;;
Bordeaux;Données temps réel;21/07/2017;16:30;427;;;;;;
Bordeaux;Données temps réel;21/07/2017;16:45;429;;;;;;
Bordeaux;Données temps réel;21/07/2017;17:00;446;;;;;;
Bordeaux;Données temps réel;21/07/2017;17:15;441;;;;;;
Bordeaux;Données temps réel;21/07/2017;17:30;420;;;;;;
Bordeaux;Données temps réel;21/07/2017;17:45;436;;;;;;
Bordeaux;Données temps réel;21/07/2017;18:00;412;;;;;;
Bordeaux;Données temps réel;21/07/2017;18:15;415;;;;;;
Bordeaux;Données temps réel;21/07/2017;18:30;399;;;;;;
Bordeaux;Données temps réel;21/07/2017;18:45;420;;;;;;
Bordeaux;Données temps réel;21/07/2017;19:00;445;;;;;;
Bordeaux;Données temps réel;21/07/2017;19:15;444;;;;;;
Bordeaux;Données temps réel;21/07/2017;19:30;423;;;;;;
Bordeaux;Données temps réel;21/07/2017;19:45;450;;;;;;
Bordeaux;Données temps réel;21/07/2017;20:00;469;;;;;;
Bordeaux;Données temps réel;21/07/2017;20:15;461;;;;;;
Bordeaux;Données temps réel;21/07/2017;20:30;460;;;;;;
Bordeaux;Données temps réel;21/07/2017;20:45;463;;;;;;
Bordeaux;Données temps réel;21/07/2017;21:00;471;;;;;;
Bordeaux;Données temps réel;21/07/2017;21:15;466;;;;;;
Bordeaux;Données temps réel;21/07/2017;21:30;458;;;;;;
Bordeaux;Données temps réel;21/07/2017;21:45;460;;;;;;
Bordeaux;Données temps réel;21/07/2017;22:00;474;;;;;;
Bordeaux;Données temps réel;21/07/2017;22:15;472;;;;;;
Bordeaux;Données temps réel;21/07/2017;22:30;515;;;;;;
Bordeaux;Données temps réel;21/07/2017;22:45;576;;;;;;
Bordeaux;Données temps réel;21/07/2017;23:00;558;;;;;;
Bordeaux;Données temps réel;21/07/2017;23:15;539;;;;;;
Bordeaux;Données temps réel;21/07/2017;23:30;506;;;;;;
Bordeaux;Données temps réel;21/07/2017;23:45;479;;;;;;
Bordeaux;Données temps réel;22/07/2017;00:00;480;;;;;;
Bordeaux;Données temps réel;22/07/2017;00:15;490;;;;;;
Bordeaux;Données temps réel;22/07/2017;00:30;467;;;;;;
Bordeaux;Données temps réel;22/07/2017;00:45;455;;;;;;
Bordeaux;Données temps réel;22/07/2017;01:00;457;;;;;;
Bordeaux;Données temps réel;22/07/2017;01:15;461;;;;;;
Bordeaux;Données temps réel;22/07/2017;01:30;440;;;;;;
Bordeaux;Données temps réel;22/07/2017;01:45;426;;;;;;
Bordeaux;Données temps réel;22/07/2017;02:00;447;;;;;;
Bordeaux;Données temps réel;22/07/2017;02:15;447;;;;;;
Bordeaux;Données temps réel;22/07/2017;02:30;447;;;;;;
Bordeaux;Données temps réel;22/07/2017;02:45;433;;;;;;
Bordeaux;Données temps réel;22/07/2017;03:00;416;;;;;;
Bordeaux;Données temps réel;22/07/2017;03:15;405;;;;;;
Bordeaux;Données temps réel;22/07/2017;03:30;398;;;;;;
Bordeaux;Données temps réel;22/07/2017;03:45;399;;;;;;
Bordeaux;Données temps réel;22/07/2017;04:00;392;;;;;;
Bordeaux;Données temps réel;22/07/2017;04:15;395;;;;;;
Bordeaux;Données temps réel;22/07/2017;04:30;395;;;;;;
Bordeaux;Données temps réel;22/07/2017;04:45;393;;;;;;
Bordeaux;Données temps réel;22/07/2017;05:00;395;;;;;;
Bordeaux;Données temps réel;22/07/2017;05:15;410;;;;;;
Bordeaux;Données temps réel;22/07/2017;05:30;401;;;;;;
Bordeaux;Données temps réel;22/07/2017;05:45;405;;;;;;
Bordeaux;Données temps réel;22/07/2017;06:00;403;;;;;;
