annee	energie_produite_annuelle_photovoltaique_enedis_mwh	energie_produite_annuelle_hydraulique_enedis_mwh	energie_produite_annuelle_bio_energie_enedis_mwh	energie_produite_annuelle_cogeneration_enedis_mwh	energie_produite_annuelle_autres_filieres_enedis_mwh
2023	2204,892	0	0,266	0	0,063
2023	530,269	0	19134,602	42587,732	0
2015	61,55397058	0	0	0	0
2016	53,74760416	0	0	0	0
2017	65,495	0	0	0	0
2018	73,7846948	0	0	0	0
2019	89,84034896	0	0	0	0
2020	83,45291927	0	0	0	0
2021	84,16	0	0	0	0
2021	87,488	0	0	0	0
2022	101,597	0	0	0	0
2022	119,204	0	0	0	0
2023	133,124	0	0	0	0
2023	107,034	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020		0	0	0	0
2021		0	0	0	0
2022		0	0	0	0
2023		0	0	0	0
2015	40,00648253	0	0	0	0
2016	40,56724713	0	0	0	0
2017	40,79	0	0	0	0
2018	44,1773548	0	0	0	0
2019	49,77219622	0	0	0	0
2020	40,75360787	0	0	0	0
2021	40,877	0	0	0	0
2022	58,361	0	0	0	0
2023	81,707	0	0	0	0
2015	77,86329031	0	0	0	0
2015	0	0	0	6810,69	0
2016	74,96992331	0	0	0	0
2016	0	0	0	6487,046	0
2017	82,953	0	0	0	0
2017	0	0	0	6373,435	0
2018	93,40647732	0	0	0	0
2018	0	0	0	6720,888333	0
2019	107,9320588	0	0	0	0
2019	0	0	0	6641,201	0
2020	107,2770436	0	0	0	0
2020	0	0	0	6642,886	0
2021	106,373	0	0	0	0
2021	0	0	0	5833,845	0
2022	134,474	0	0	0	0
2022	0	0	0	5216,998	0
2023	190,953	0	0	0	0
2023	0,169	0	0	0	0
2023	0	0	0	6596,782	0
2015		0	0	0	0
2015	0	51824,365	0	0	0
2016		0	0	0	0
2016	0	41987,348	0	5705,282	0
2017		0	0	0	0
2017	0	60436,231	0	13940,752	0
2018		0	0	0	0
2018	0	53290,72317	0	14882,21033	0
2019	102,8078279	0	0	0	0
2019	0	56677,0305	0	15184,82917	0
2020	110,3583486	0	0	0	0
2020	427,23	0	0	0	0
2020	1128,7605	53192,41533	0	15158,20617	0
2021	118,76	0	0	0	0
2021	453,283	0	0	0	0
2021	1354,899	46399,855	0	12420,263	0
2022	134,283	0	0	0	0
2022	506,617	0	0	0	0
2022	1504,309	48885,582	0	12728,644	0
2023		0	0	0	0
2023	441,201	0	0	0	0
2023	1329,534	36213,409	0	15448,745	0
2015	37,21997137	0	0	0	0
2016	32,2669603	0	0	0	0
2017		0	0	0	0
2018	35,44561176	0	0	0	0
2019	36,77882093	0	0	0	0
2020	36,01335345	0	0	0	0
2021	40,427	0	0	0	0
2022	39,782	0	0	0	0
2023	47,4	0	0	0	0
2015	107,8436038	0	0	0	0
2015	9959,007	0	0	0	0
2016	106,1840076	0	0	0	0
2016	8974,689	0	0	0	0
2017	118,108	0	0	0	0
2017	8922,932	0	0	0	0
2018	132,7835548	0	0	0	0
2018	9765,902167	0	0	0	0
2019	146,8462088	0	0	0	0
2019	10290,5215	0	0	0	0
2020	141,7099038	0	0	0	0
2020	15951,82733	0	0	0	0
2021	156,996	0	0	0	0
2021	15157,899	0	0	0	0
2022	202,732	0	0	0	0
2022	19726,547	0	0	0	0
2023	228,994	0	0	0	0
2023	2,85	0	0	0	0
2023	18044,389	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020	36,88958166	0	0	0	0
2021	42,262	0	0	0	0
2022	45,879	0	0	0	0
2023	51,829	0	0	0	0
2023	0,221	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017	89,835	0	0	0	0
2018	86,15335304	0	0	0	0
2019	101,2634495	0	0	0	0
2020	111,7682086	0	0	0	0
2021	123,629	0	0	0	0
2022	158,541	0	0	0	0
2023	220,226	0	0	0	0
2015	104,7340854	0	0	0	0
2016	112,4694834	0	0	0	0
2017	119,26	0	0	0	0
2018	123,0754347	0	0	0	0
2019	144,7122706	0	0	0	0
2020	144,486107	0	0	0	0
2021	152,621	0	0	0	0
2022	182,801	0	0	0	0
2023		0	0	0	0
2015	112,2019116	0	0	0	0
2015	0	0	0	787,863	0
2015	2294,285	0	0	0	0
2016	112,3860963	0	0	0	0
2016	0	0	0	747,663	0
2016	2016,048	0	0	0	0
2017	142,218	0	0	0	0
2017	0	0	0	695,342	0
2017	2196,25	0	0	0	0
2018	165,7383314	0	0	0	0
2018	0	0	0	763,141	0
2018	2070,529167	0	0	0	0
2019	161,4298744	0	0	0	0
2019	0	0	0	744,2381667	0
2019	2380,102667	0	0	0	0
2020	146,429833	0	0	0	0
2020	0	0	0	751,0721667	0
2020	2326,571667	0	0	0	0
2021	115,181	0	0	0	0
2021	0	0	0	0	0
2021	2226,493	0	0	0	0
2022	138,507	0	0	0	0
2022	2759,882	0	0	0	0
2023	166,851	0	0	0	0
2023	3436,596	0	0	0	0
2015	144,2073876	0	0	0	0
2016	132,0193066	0	0	0	0
2017	150,622	0	0	0	0
2018	153,6448151	0	0	0	0
2019	306,7087555	0	0	0	0
2020	163,393809	0	0	0	0
2021	160,871	0	0	0	0
2022	189,045	0	0	0	0
2023	240,592	0	0	0	0
2015	309,5258561	0	0	0	0
2015	0	0	0	2733,39	0
2016	302,9893196	0	0	0	0
2016	0	0	0	2670,041	0
2017	327,038	0	0	0	0
2017	114,444	0	0	0	0
2017	0	0	0	2650,5	0
2018	330,1779537	0	0	0	0
2018	109,1505809	0	0	0	0
2018	0	0	0	2662,647667	0
2019	379,954249	0	0	0	0
2019	113,777	0	0	0	0
2019	0	0	0	1575,118167	0
2020	353,3135402	0	0	0	0
2020	377,619	0	0	0	0
2019	0	365974,4608	0	22025,9425	0
2020	0	0	0	0	0
2021	335,914	0	0	0	0
2021	387,024	0	0	0	0
2021	0	0	223,857	0	0
2022	424,169	0	0	0	0
2022	393,89	0	0	0	0
2022	0	0	976,889	0	0
2023	562,21	0	0	0	0
2023	353,125	0	0	0	0
2023	0,832	0	1020,827	0	0
2015	144,949738	0	0	0	0
2016	166,616658	0	0	0	0
2017	157,443	0	0	0	0
2018	158,494765	0	0	0	0
2019	174,9497102	0	0	0	0
2020	180,4052522	0	0	0	0
2020	112,283	0	0	0	0
2021	186,827	0	0	0	0
2021	105,586	0	0	0	0
2022	229,303	0	0	0	0
2022	105,275	0	0	0	0
2023	310,179	0	0	0	0
2023	96,552	0	0	0	0
2015	45,32817509	0	0	0	0
2016	40,70290735	0	0	0	0
2017	44,886	0	0	0	0
2018	47,61250936	0	0	0	0
2019	47,9287411	0	0	0	0
2020	72,4142468	0	0	0	0
2021	79,897	0	0	0	0
2022	87,902	0	0	0	0
2023	97,304	0	0	0	0
2015	30,42244358	0	0	0	0
2016	30,56615258	0	0	0	0
2017	36,23	0	0	0	0
2018	37,38006756	0	0	0	0
2019	39,34487672	0	0	0	0
2020	39,46329242	0	0	0	0
2021	37,197	0	0	0	0
2022	43,97	0	0	0	0
2023	50,814	0	0	0	0
2015	105,7333682	0	0	0	0
2016	107,7910827	0	0	0	0
2017	119,787	0	0	0	0
2018	123,6536152	0	0	0	0
2019	127,9522239	0	0	0	0
2020	140,0442089	0	0	0	0
2020	11,073	0	0	0	0
2021	134,914	0	0	0	0
2021	8,551	0	0	0	0
2022	169,466	0	0	0	0
2022	8,563	0	0	0	0
2023	244,144	0	0	0	0
2023	8,683	0	0	0	0
2015	215,3772901	0	0	0	0
2016	207,5363481	0	0	0	0
2017	215,716	0	0	0	0
2018	212,1304257	0	0	0	0
2019	230,9669808	0	0	0	0
2020	217,7252345	0	0	0	0
2021	210,84	0	0	0	0
2022	255,05	0	0	0	0
2023	275,336	0	0	0	0
2015	629,6156582	0	0		0
2015	306,2262989	0	0	0	0
2015	0	0	0	19613,83	0
2016	559,8750433	0	0		0
2016	304,7836816	0	0	0	0
2016	0	0	0	19824,707	0
2017	700,283	0	0		0
2017	324,021	0	0	0	0
2017	0	0	0	19740,952	0
2018	730,4718507	0	0		0
2018	318,3584617	0	0	0	0
2018	0	0	0	19309,12033	0
2019	772,8522986	0	0		0
2019	314,2806667	0	0	0	0
2019	0	0	0	19113,67183	0
2020	741,5036061	0	0		0
2020	347,7586667	0	0	0	0
2020	0	0	0	18735,871	0
2021	650,722	0	0		0
2021	326,929	0	0	0	0
2021	0	0	0	19092,251	0
2022	776,344	0	0		0
2022	561,894	0	0	0	0
2022	0,026	0	0	6044,254	0
2023	786,273	0	0		0
2023	537,773	0	0	0	0
2023	55,965	0	0	4077,358	0
2015	308,5146032	0	0	0	0
2015	0	0	0	33148,461	118,866
2016	310,8467047	0	0	0	0
2016	0	0	0	21802,027	0
2017	393,62	0	0	0	0
2017	69,597	0	0	0	0
2017	0	0	0	21205,223	0
2018	380,962747	0	0	0	0
2018	116,753064	0	0	0	0
2018	0	0	0	21941,84433	0
2019	409,6658777	0	0	0	0
2019	122,353	0	0	0	0
2019	0	0	0	22311,728	0
2020	356,7859312	0	0	0	0
2020	421,383	0	0	0	0
2020	7,000833333	0	0	22109,25683	0
2021	377,254	0	0	0	0
2021	444,002	0	0	0	0
2021	10,557	0	0	21853,96	0
2022	425,869	0	0	0	0
2022	487,138	0	0	0	0
2022	10,543	0	0	18168,448	0
2023	459,197	0	0	0	0
2023	562,631	0	0	0	67,133
2023	8,324	0	0	21628,86	0
2015	82,54190526	0	0	0	0
2016	89,06194619	0	0	0	0
2017	98,068	0	0	0	0
2018	100,264904	0	0	0	0
2019	119,2388938	0	0	0	0
2020	113,8501766	0	0	0	0
2021	129,715	0	0	0	0
2022	154,185	0	0	0	0
2023	163,688	0	0	0	0
2015	542,0777108	0	0	0	0
2015	119,6505185	0	0	0	0
2015	0	341360,863	0	42347,634	0
2016	596,0780336	0	0	0	0
2016	79,7932522	0	0	0	0
2016	0	357047,646	0	43045,207	0
2017	588,945	0	0	0	0
2017	198,268	0	0	0	0
2017	0	276016,892	0	41528,147	0
2018	512,0178703	0	0	0	0
2018	222,1629069	0	0	0	0
2018	0	369240,333	0	43504,9105	0
2019	672,1167782	0	0	0	0
2019	215,375	0	0	0	0
2020	808,2949996	0	0	0	
2020	316,865	0	0	0	0
2020	0	317453,2397	0	0	0
2021	692,477	0	0	0	0
2021	395,509	0	0	0	0
2021	0	285872,622	0	0	0
2022	748,414	0	0	0	0
2022	636,761	0	0	0	0
2022	0	277202,826	0	0	0
2023	736,531	0	0	0	0
2023	616,634	0	0	0	0
2023	0	294155,602	0	0	0
2015		0	0	0	0
2016	234,2039351	0	0	0	0
2017	245,745	0	0	0	0
2018	243,8128594	0	0	0	0
2019	254,7011049	0	0	0	0
2020		0	0	0	0
2021		0	0	0	0
2021	3,299	0	0	0	0
2022		0	0	0	0
2022	20,758	0	0	0	0
2023		0	0	0	0
2023	34,129	0	0	0	0
2015		0	0	0	0
2015	122,4382641	0	0	0	0
2016		0	0	0	0
2016	111,7897861	0	0	0	0
2017		0	0	0	0
2017	117,698	0	0	0	0
2018		0	0	0	0
2018	114,091176	0	0	0	0
2019		0	0	0	0
2019	119,11	0	0	0	0
2019	9797,925833	0	0	0	0
2020		0	0	0	0
2020	104,255	0	0	0	0
2020	19094,064	0	0	0	0
2021	424,564	0	0	0	0
2021	113,915	0	0	0	0
2021	18633,871	0	0	0	0
2022	464,28	0	0	0	0
2022	248,817	0	0	0	0
2022	25016,894	0	0	0	0
2023	480,672	0	0	0	0
2023	553,507	0	0	0	0
2023	24393,587	0	0	0	0
2015	282,1739509	0	0	0	0
2015	79,64798478	0	0	0	0
2016	287,9257459	0	0	0	0
2016	71,50398626	0	0	0	0
2017	299,754	0	0	0	0
2017	74,233	0	0	0	0
2018	307,4437855	0	0	0	0
2018	71,05463829	0	0	0	0
2019	354,781192	0	0	0	0
2019	80,082	0	0	0	0
2020	375,8385992	0	0	0	0
2020	76,309	0	0	0	0
2021	381,521	0	0	0	0
2021	71,577	0	0	0	0
2022	447,164	0	0	0	0
2022	82,125	0	0	0	0
2022	3252,87	0	0	0	0
2023	509,151	0	0	0	0
2023	76,613	0	0	0	0
2023	8669,329	0	0	0	0
2015	294,170373	0	0	0	0
2015	37,51092134	0	0	0	0
2016	226,2226276	0	0	0	0
2016	107,7334798	0	0	0	0
2017	253,595	0	0	0	0
2017	111,608	0	0	0	0
2018	239,0409589	0	0	0	0
2018	110,7565801	0	0	0	0
2019	267,4957781	0	0	0	0
2019	114,363	0	0	0	0
2020		0	0	0	0
2020	107,732	0	0	0	0
2021		0	0	0	0
2021	101,246	0	0	0	0
2022		0	0	0	0
2022	95,453	0	0	0	0
2023		0	0	0	0
2023	95,351	0	0	0	0
2015	84,62476677	0	0	0	0
2015	110,8166617	0	0	0	0
2016	78,71970704	0	0	0	0
2016	101,6610379	0	0	0	0
2017	89,344	0	0	0	0
2017	107,675	0	0	0	0
2018	90,90457091	0	0	0	0
2018	99,08463725	0	0	0	0
2019	105,0509531	0	0	0	0
2019	115,031	0	0	0	0
2020	103,0064067	0	0	0	0
2020	111,055	0	0	0	0
2021	108,677	0	0	0	0
2021	173,489	0	0	0	0
2022	128,16	0	0	0	0
2022	178,028	0	0	0	0
2023	151,731	0	0	0	0
2023	226,98	0	0	0	0
2015	144,0591647	0	0	0	0
2015	121,2706636	0	0	0	0
2016		0	0	0	0
2016	259,7223164	0	0	0	0
2017	158,229	0	0	0	0
2017	272,387	0	0	0	0
2018	158,4986735	0	0	0	0
2018	253,3496413	0	0	0	0
2019	176,683107	0	0	0	0
2019	248,658	0	0	0	0
2020	187,7552002	0	0	0	0
2020	245,277	0	0	0	0
2021	187,123	0	0	0	0
2021	247,497	0	0	0	0
2022	212,069	0	0	0	0
2022	495,61	0	0	0	0
2023	280,034	0	0	0	0
2023	544,1	0	0	0	0
2015	668,0658001	0	0	0	0
2015	435,2168816	0	0	0	0
2015	66,569	0	0	2676,169	0
2016	628,2241195	0	0	0	0
2016	439,0262605	0	0	0	0
2016	68,129	0	0	2786,718	0
2017	662,259	0	0	0	0
2017	472,105	0	0	0	0
2017	42,723	0	0	2725,491	0
2018	714,8519758	0	0	0	0
2018	454,8012927	0	0	0	0
2018	67,2505	0	0	2766,555	0
2019	795,7833399	0	0	0	0
2019	476,986	0	0	0	0
2019	63,381	0	0	2792,459667	0
2020	820,6662469	0	0	0	0
2020	447,503	0	0	0	0
2020	51,90583333	0	0	2773,734833	0
2021	742,712	0	0	0	0
2021	394,61	0	0	0	0
2021	334,019	0	0	2322,82	0
2022	945,048	0	0	0	0
2022	401,114	0	0	0	0
2022	2479,704	0	0	1941,075	0
2023	1044,21	0	0	0	0
2023	384,478	0	0	0	0
2023	2382,806	0	0	1596,674	167,339
2015		0	0	0	0
2016	259,3478319	0	0	0	0
2017	297,872	0	0	0	0
2018	308,0321398	0	0	0	0
2019	320,8154681	0	0	0	0
2020	325,9540388	0	0	0	0
2021	355,325	0	0	0	0
2022	416,887	0	0	0	0
2022	47,544	0	0	0	0
2023	513,962	0	0	0	0
2023	72,04	0	0	0	0
2015	153,6871428	0	0	0	0
2016	142,7144083	0	0	0	0
2017	159,84	0	0	0	0
2018	148,5121232	0	0	0	0
2019	160,0969334	0	0	0	0
2020	158,7179311	0	0	0	0
2021	157,141	0	0	0	0
2022	186,198	0	0	0	0
2023	224,263	0	0	0	0
2015	276,2715359	0	0	0	0
2015	40,963	0	0	0	0
2015	0	0	13920,426	2866,589	0
2016		0	0	0	0
2016	46,745	0	0	0	0
2016	0	0	26376,445	3540,973	0
2017		0	0	0	0
2017	51,849	0	0	0	0
2017	0	0	20610,52	3332,237	0
2018	365,3272667	0	0	0	0
2018	45,855	0	0	0	0
2018	0	0	25270,95083	3506,7825	0
2019	408,7359942	0	0	0	0
2019	48,21983333	0	0	0	0
2019	0	0	27165,21717	3502,220667	0
2020	353,2645088	0	0	0	0
2020	82,40083333	0	0	0	0
2020	0	0	17443,32017	3458,8115	0
2021	340,251	0	0	0	0
2021	77,115	0	0	0	0
2021	0	0	27183,682	2880,633	0
2022	387,833	0	0	0	0
2022	348,031	0	0	0	0
2022	0	0	33360,412	2830,009	0
2023	485,84	0	0	0	0
2023	371,272	0	0	0	0
2023	0	0	25627,749	2087,094	0
2015	428,2485563	0	0	0	0
2015	716,1383198	0	0	0	0
2015	0	0	0	6693,984	0
2016	475,083448	0	0	0	0
2016	770,1696102	0	0	0	0
2016	0	0	0	6877,182	0
2017	541,072	0	0	0	0
2017	755,51	0	0	0	0
2017	0	0	0	6806,959	0
2018	583,4395281	0	0	0	0
2018	778,3073826	0	0	0	0
2018	0	0	0	6422,558333	0
2019	636,4495913	0	0	0	0
2019	806,2696667	0	0	0	0
2019	0	0	0	6582,544667	0
2020	613,2774363	0	0	0	
2020	778,6526667	0	0	21,774	0
2020	0	0	0	6826,436167	0
