"année";"nom territoire";"code insee";"nom commune";"nom réseau";"indicateur";"unités";"valeur"
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production gaz naturel";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production totale";"MWh";909,88
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"niveau de rejet en CO2 des réseaux";"MWh";0,06
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"densité";"MWh";2432,29
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"longueur réseau";"MWh";0,99
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production autres";"MWh";0
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production biogaz";"MWh";0
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production biomasse solide";"MWh";1839,79
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production charbon";"MWh";0
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production enr hors bois";"MWh";0
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production gaz naturel";"MWh";571,05
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69227";"Saint-Martin-en-Haut";"Saint Martin en Haut";"production totale";"MWh";2410,84
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"niveau de rejet en CO2 des réseaux";"MWh";0,03
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"densité";"MWh";2432,29
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"longueur réseau";"MWh";1,65
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production autres";"MWh";0
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production biogaz";"MWh";0
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production biomasse solide";"MWh";3641,67
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production charbon";"MWh";0
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production enr hors bois";"MWh";0
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production gaz naturel";"MWh";365,31
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69248";"Thizy-les-Bourgs";"Réseau chaleur bois de Thizy-les-Bourgs";"production totale";"MWh";4006,98
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"niveau de rejet en CO2 des réseaux";"MWh";0,02
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"niveau de rejet en CO2 des réseaux";"MWh";0,02
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"densité";"MWh";2432,29
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"densité";"MWh";5893,54
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"longueur réseau";"MWh";13,7
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"longueur réseau";"MWh";5,5
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production autres";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production autres";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production biogaz";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production biogaz";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production biomasse solide";"MWh";4989
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production biomasse solide";"MWh";4766,98
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production chaleur fatale";"MWh";26585
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production chaleur fatale";"MWh";25812,04
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production charbon";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production charbon";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production enr hors bois";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production enr hors bois";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production gaz naturel";"MWh";1747
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production gaz naturel";"MWh";1835,46
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"Réseau Sytraival";"production totale";"MWh";33321
"2023";"Rhône";"69264";"Villefranche-sur-Saône";"UIOM Villefranche";"production totale";"MWh";32414,48
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"niveau de rejet en CO2 des réseaux";"MWh";0,04
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"niveau de rejet en CO2 des réseaux";"MWh";0,05
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"densité";"MWh";1219,74
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"densité";"MWh";2574,17
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"longueur réseau";"MWh";0,5
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"longueur réseau";"MWh";0,3
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production autres";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production autres";"MWh";0
