Date;Code INSEE département;Département;TMin (°C);TMax (°C);TMoy (°C)
2018-11-13;69;Rhône;11.3;12.85;12.08
2019-01-08;69;Rhône;2.7;4.85;3.78
2019-07-03;69;Rhône;20.1;30.3;25.2
2018-12-23;69;Rhône;7.6;12.3;9.95
2019-10-07;69;Rhône;9.55;16.9;13.23
2020-09-01;69;Rhône;12.3;22.8;17.55
2019-10-12;69;Rhône;16.8;21.2;19.0
2018-09-01;69;Rhône;11.85;23.45;17.65
2019-01-18;69;Rhône;0.4;3.65;2.02
2020-09-09;69;Rhône;13.25;27.85;20.55
2019-01-23;69;Rhône;-0.55;1.7;0.57
2019-01-07;69;Rhône;2.5;4.8;3.65
2019-01-26;69;Rhône;-1.4;5.35;1.98
2019-01-28;69;Rhône;0.6;6.1;3.35
2020-08-30;69;Rhône;14.6;21.2;17.9
2020-09-02;69;Rhône;12.65;24.4;18.52
2018-09-16;69;Rhône;11.3;28.3;19.8
2019-02-02;69;Rhône;0.55;5.25;2.9
2020-09-04;69;Rhône;13.05;31.15;22.1
2020-09-20;69;Rhône;16.95;25.75;21.35
2018-09-20;69;Rhône;16.75;31.75;24.25
2019-01-16;69;Rhône;-2.1;12.3;5.1
2020-09-23;69;Rhône;14.55;25.95;20.25
2019-02-09;69;Rhône;3.4;13.25;8.32
2020-09-27;69;Rhône;5.8;10.0;7.9
2019-01-22;69;Rhône;-1.0;4.0;1.5
2020-09-12;69;Rhône;14.55;30.05;22.3
2020-09-14;69;Rhône;17.15;33.8;25.48
2020-10-03;69;Rhône;8.3;16.0;12.15
2019-01-27;69;Rhône;1.15;10.8;5.98
2019-02-15;69;Rhône;-0.6;16.75;8.07
2018-09-30;69;Rhône;9.7;19.3;14.5
2018-10-01;69;Rhône;10.6;15.15;12.88
2019-02-18;69;Rhône;5.8;15.0;10.4
2019-02-19;69;Rhône;1.65;15.1;8.38
2020-10-07;69;Rhône;11.95;17.7;14.82
2019-01-30;69;Rhône;1.55;5.85;3.7
2019-02-20;69;Rhône;1.15;15.25;8.2
2019-01-31;69;Rhône;2.3;9.05;5.68
2020-09-25;69;Rhône;10.45;16.2;13.32
2019-02-25;69;Rhône;1.3;15.95;8.62
2020-10-13;69;Rhône;3.65;12.55;8.1
2019-02-07;69;Rhône;-0.05;7.8;3.88
2019-02-27;69;Rhône;1.1;18.1;9.6
2019-02-28;69;Rhône;2.6;19.4;11.0
2020-10-01;69;Rhône;11.05;16.9;13.98
2019-03-03;69;Rhône;1.6;18.1;9.85
2020-10-02;69;Rhône;10.4;18.85;14.62
2019-02-11;69;Rhône;2.65;7.85;5.25
2022-03-23;69;Rhône;2.2;17.55;9.88
2019-03-04;69;Rhône;8.9;16.1;12.5
2022-03-28;69;Rhône;4.6;21.85;13.22
2019-02-17;69;Rhône;3.45;17.75;10.6
2020-10-08;69;Rhône;8.15;21.6;14.88
2019-03-13;69;Rhône;4.95;11.25;8.1
2020-10-30;69;Rhône;7.0;18.5;12.75
2019-02-21;69;Rhône;1.1;16.15;8.62
2020-11-02;69;Rhône;11.95;20.1;16.02
2019-02-24;69;Rhône;1.95;15.85;8.9
2022-04-05;69;Rhône;1.25;14.15;7.7
2020-10-15;69;Rhône;6.4;10.5;8.45
2020-11-05;69;Rhône;8.25;12.6;10.42
2020-10-16;69;Rhône;9.1;13.4;11.25
2020-10-17;69;Rhône;9.7;12.4;11.05
2019-03-22;69;Rhône;1.2;19.7;10.45
2019-03-02;69;Rhône;5.25;11.15;8.2
2020-10-19;69;Rhône;2.55;17.45;10.0
2020-10-20;69;Rhône;14.15;18.6;16.38
2020-10-22;69;Rhône;15.4;18.85;17.12
2019-03-05;69;Rhône;5.85;16.45;11.15
2019-03-06;69;Rhône;7.75;16.3;12.02
2020-10-23;69;Rhône;13.6;16.35;14.98
2019-03-07;69;Rhône;7.95;15.7;11.82
2020-10-24;69;Rhône;10.8;18.0;14.4
2022-04-17;69;Rhône;5.45;18.85;12.15
2020-10-25;69;Rhône;8.75;18.55;13.65
2019-03-10;69;Rhône;10.75;18.7;14.73
2020-11-19;69;Rhône;7.2;12.4;9.8
2020-10-28;69;Rhône;9.7;18.3;14.0
2022-04-21;69;Rhône;11.6;20.7;16.15
2020-10-29;69;Rhône;12.35;16.05;14.2
2020-11-21;69;Rhône;0.65;5.95;3.3
2020-10-31;69;Rhône;5.05;20.1;12.58
2019-03-15;69;Rhône;7.05;14.0;10.52
2022-04-25;69;Rhône;11.45;16.65;14.05
2020-12-21;69;Rhône;3.3;11.2;7.25
2022-04-26;69;Rhône;9.4;18.5;13.95
2019-03-16;69;Rhône;5.6;20.05;12.82
2020-11-25;69;Rhône;2.8;14.75;8.77
2019-03-17;69;Rhône;6.9;18.8;12.85
2020-11-03;69;Rhône;9.75;13.0;11.38
2020-11-26;69;Rhône;2.75;14.85;8.8
2022-04-30;69;Rhône;7.75;20.1;13.92
2022-05-01;69;Rhône;7.7;19.55;13.62
2022-05-02;69;Rhône;6.5;21.2;13.85
2020-12-29;69;Rhône;4.95;9.6;7.28
2020-12-02;69;Rhône;2.15;4.65;3.4
2022-05-04;69;Rhône;9.5;22.25;15.88
2020-12-31;69;Rhône;0.0;6.0;3.0
2020-12-07;69;Rhône;1.55;7.75;4.65
2020-11-15;69;Rhône;12.75;17.75;15.25
2020-12-08;69;Rhône;4.25;8.6;6.42
2021-07-11;69;Rhône;14.85;26.1;20.48
2022-05-12;69;Rhône;15.85;27.95;21.9
2020-12-11;69;Rhône;1.0;8.35;4.68
2021-01-06;69;Rhône;0.5;1.65;1.08
2022-05-16;69;Rhône;15.85;29.55;22.7
2020-11-23;69;Rhône;-2.8;8.25;2.72
2021-01-11;69;Rhône;-3.75;-0.75;-2.25
